n_mfcc,model_name,accuracy,precision,recall,f1,roc_auc,train_time_sec,inference_time_ms,model_size_mb,best_params,cv_best_score
16,Decision Tree,0.671604938271605,0.5067567567567568,0.5555555555555556,0.5300353356890459,0.7121947873799725,0.378929500002414,0.06956700701266527,0.004352569580078125,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 10}",0.7018518518518518
16,K-Nearest Neighbors,0.8,0.6956521739130435,0.7111111111111111,0.7032967032967034,0.8521673525377228,0.3979464001022279,1.4392029913142323,0.11187744140625,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.6685185185185185
16,Naive Bayes,0.7185185185185186,0.6779661016949152,0.2962962962962963,0.41237113402061853,0.6965980795610425,0.028379699680954218,0.22508298512548208,0.0010738372802734375,{'var_smoothing': 1e-09},0.3537037037037037
16,MLP Neural Network,0.8419753086419753,0.8034188034188035,0.6962962962962963,0.746031746031746,0.8814814814814814,51.35456630028784,0.11739699635654688,0.06541061401367188,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant'}",0.6962962962962962
32,Logistic Regression,0.6839506172839506,0.5195530726256983,0.6888888888888889,0.5923566878980892,0.7612345679012346,0.08037180034443736,0.11536900419741869,0.0009374618530273438,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.6814814814814815
32,Ridge Classifier,0.6765432098765433,0.510989010989011,0.6888888888888889,0.5867507886435331,0.7596433470507545,0.08989820023998618,0.08731900248676538,0.0008249282836914062,"{'alpha': 0.1, 'solver': 'auto'}",0.6796296296296296
32,SVM (RBF),0.7728395061728395,0.6303030303030303,0.7703703703703704,0.6933333333333334,0.8545404663923184,1.5368181997910142,8.823992968536913,0.2918243408203125,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7537037037037037
32,Linear SVM,0.6839506172839506,0.5193370165745856,0.6962962962962963,0.5949367088607594,0.7627709190672154,0.13559060031548142,0.08667100220918655,0.00081634521484375,"{'C': 1, 'loss': 'hinge'}",0.6925925925925925
32,Random Forest,0.8024691358024691,0.7391304347826086,0.6296296296296297,0.68,0.8471056241426612,19.795477599836886,34.05806199647486,1.4189300537109375,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.5814814814814815
32,Extra Trees,0.7851851851851852,0.6690140845070423,0.7037037037037037,0.6859205776173285,0.8544032921810699,2.998123399913311,33.493544990196824,1.5698871612548828,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.6537037037037037
32,Gradient Boosting,0.8148148148148148,0.7586206896551724,0.6518518518518519,0.701195219123506,0.8797805212620027,50.61166379973292,0.4655999969691038,0.40905189514160156,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.6000000000000001
